Date,close_price_.AEX,close_price_.AORD,close_price_.BFX,close_price_.BVSP,close_price_.FCHI,close_price_.FTSE,close_price_.GDAXI,close_price_.HSI,close_price_.IBEX,close_price_.KS11,close_price_.MXX,close_price_.N225,close_price_.NSEI,close_price_.SPX,close_price_.SSEC,close_price_.SSMI,rv5_.AEX,rv5_.AORD,rv5_.BFX,rv5_.BVSP,rv5_.FCHI,rv5_.FTSE,rv5_.GDAXI,rv5_.HSI,rv5_.IBEX,rv5_.KS11,rv5_.MXX,rv5_.N225,rv5_.NSEI,rv5_.SPX,rv5_.SSEC,rv5_.SSMI
2000-01-03,675.44,NA,3311.05,16933,5917.37,NA,6765.18,17369.63,11610,NA,7077.71,NA,1592.2,1454.24,NA,NA,0.00013017,NA,0.000334337,0.000337832,0.00020778,NA,0.000666717,0.00023056,0.000368379,NA,9.95E-05,NA,1.48E-06,0.000140815,NA,NA
2000-01-04,642.25,3122.7,3172.21,15905,5672.02,6666.1,6589.47,17072.82,11206.6,1059.04,6675.27,NA,1638.7,1399.02,1406.022,7268.1,0.000201306,5.27E-05,0.000333081,0.000587708,0.000390624,0.000232792,0.00052569,0.000216889,0.000212163,0.001130499,0.000288357,NA,1.80E-05,0.000224131,0.000117486,0.000137426
2000-01-05,632.31,3052,3057.53,16283,5479.7,6536.2,6493,15846.72,10863.1,987.33,6764,NA,1595.8,1402.09,1409.616,7181.3,0.000490966,0.000278022,0.000346672,0.00084637,0.000299657,0.000191529,0.001163879,0.001885013,0.000291359,0.000753401,0.000290667,NA,4.08E-05,0.000314282,0.000206429,0.000156831
2000-01-06,624.21,3030.1,3061.09,16152,5450.11,6447.6,6472.28,15153.23,NA,960.65,6751.65,NA,1617.6,1403.06,1463.587,7280.6,0.00022514,2.97E-05,0.000284856,0.000451354,0.000225638,0.000123423,0.000294669,0.001125033,NA,0.000906606,7.73E-05,NA,2.27E-05,0.00013081,0.00025403,0.000123941
2000-01-07,644.86,3042.7,3138.55,16355,5539.61,6505,6780.96,15405.63,11102.4,951.41,7047.09,NA,1613.3,1440.84,1516.604,7448,0.000138415,3.55E-05,0.000137174,0.000194337,0.000210803,0.000114034,0.000368534,0.000511023,0.000204024,0.001066192,9.57E-05,NA,4.75E-05,9.36E-05,0.000513793,8.27E-05
2000-01-10,655.14,3105.8,3203.75,17019.05,5646.12,6608.6,6920.76,15848.15,11173.3,987.24,7333.7,NA,1632.95,1456.84,1544.219,7452.8,0.000109232,0.000123992,0.000101725,0.000231103,0.000157761,0.000123279,0.000457658,0.000643124,0.000221362,0.000303329,0.000181614,NA,5.58E-05,0.000120213,0.000338447,4.41E-05
2000-01-11,648.94,3161.9,3148.9,16694.26,5613.9,6519.5,6902.12,15862.1,11012.4,984.05,7143.13,NA,1572.5,1438.33,1478.653,7420.1,0.000127336,0.000367742,0.000106527,0.000206251,0.000193752,8.62E-05,0.000241611,0.000366044,0.00018526,0.000350931,0.000144078,NA,2.51E-05,6.81E-05,0.000497582,6.77E-05
2000-01-12,638.4,3104,3110.25,16627.06,5582.5,6531.7,6902.17,15714.2,10851.8,953.94,7174.1,NA,1624.8,1431.99,1437.614,7440.2,0.000166344,0.000295546,0.000164679,0.000194903,0.000188911,7.21E-05,0.00033718,0.000144455,0.000151229,0.000269697,7.59E-05,NA,8.66E-05,0.000123002,0.000461897,5.97E-05
2000-01-13,642.21,3097.8,3133.58,17310.36,5633.24,6530.9,6971.69,15633.96,10931.9,958.82,7274.68,NA,1621.4,1449.87,1424.442,7436.9,0.000154236,3.49E-05,6.65E-05,0.002372241,0.000161091,8.99E-05,0.000216722,0.000237661,0.000291109,0.00040592,0.000953541,NA,9.98E-05,0.000101328,0.000226578,3.88E-05
2000-01-14,655.6,3120,3128.5,17626.51,5787.44,6658.1,7197.59,15542.23,11184,946.74,7381.49,NA,1622.75,1463.86,1408.353,7513.9,9.70E-05,5.26E-05,0.000157408,0.000270067,0.000157485,0.000141883,0.000317394,0.000285499,0.00022363,0.000626423,9.90E-05,NA,3.44E-05,0.0001393,9.69E-05,4.32E-05
