"date","rate_prop","rate_prop2","tariff_prop","unemp_prop","inf_p_prop","inf_n_prop","inf_prop","war_prop","trade_p_prop","trade_n_prop","house_prop_d","house_prop","car_prop_d","chip_prop_d","ship_prop_d","inf_prop_d","trade_prop_d"
2014-12-31,0,0,0,0,0.0144927536231884,0,0.0289855072463768,0.0144927536231884,0,0,0,0,0,0,0,0.0144927536231884,0
2015-01-01,0,0,0,0,0.00140056022408964,0,0.00420168067226891,0.00840336134453781,0.00420168067226891,0.00140056022408964,0,0,0,0,0,0.00140056022408964,0.00280112044817927
2015-01-02,0,0,0,0,0,0.00109170305676856,0.00218340611353712,0.00436681222707424,0.00218340611353712,0.00109170305676856,0,0,0,0,0,-0.00109170305676856,0.00109170305676856
2015-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,0,0,0,0,0,0.00227272727272727,0.00909090909090909,0.00681818181818182,0.00227272727272727,0.00227272727272727,0,0,0,0,0,-0.00227272727272727,0
2015-01-05,0,0.000907441016333938,0,0,0,0,0.00181488203266788,0.00635208711433757,0.000907441016333938,0.00272232304900181,0,0.000907441016333938,0,0,0,0,-0.00181488203266788
2015-01-06,0,0,0,0,0,0.00191204588910134,0.00573613766730402,0.0344168260038241,0.00191204588910134,0,0,0,0.00191204588910134,0,0,-0.00191204588910134,0.00191204588910134
2015-01-07,0,0,0,0,0,0,0,0.0106382978723404,0,0,0,0,0,0,0,0,0
2015-01-08,0,0,0,0,0,0.0029585798816568,0.0029585798816568,0.00591715976331361,0.0029585798816568,0,0,0.0029585798816568,0,0,0,-0.0029585798816568,0.0029585798816568
2015-01-09,0,0,0,0,0,0,0,0.00634249471458774,0,0,0,0,0,0,0,0,0
2015-01-10,0,0,0,0,0,0,0,0.00766283524904215,0,0,0,0,0,0,0,0,0
2015-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,0,0.000857632933104631,0,0,0,0.00257289879931389,0.00343053173241852,0.00600343053173242,0,0.00257289879931389,0,0,0,0,0,-0.00257289879931389,-0.00257289879931389
2015-01-14,0,0,0,0,0,0,0,0.00793650793650794,0.0158730158730159,0,0,0.00793650793650794,0,0.00793650793650794,0,0,0.0158730158730159
2015-01-15,0.00671140939597315,0,0,0.000958772770853308,0.000958772770853308,0,0.000958772770853308,0.00191754554170662,0.000958772770853308,0,0,0,0,0,0,0.000958772770853308,0.000958772770853308
2015-01-16,0,0,0,0,0,0.00980392156862745,0.00980392156862745,0.00326797385620915,0,0,0,0,0,0,0,-0.00980392156862745,0
2015-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,0,0,0,0,0,0,0,0.0416666666666667,0.0208333333333333,0,0,0,0,0,0,0,0.0208333333333333
2015-01-19,0,0,0,0,0.00215982721382289,0.00431965442764579,0.00431965442764579,0.00863930885529158,0,0,0,0,0,0,0,-0.00215982721382289,0
2015-01-20,0,0,0,0,0,0,0.00111607142857143,0.00558035714285714,0,0.00111607142857143,0,0,0,0,0,0,-0.00111607142857143
2015-01-21,0,0,0.000958772770853308,0,0,0,0,0,0.00287631831255992,0.00191754554170662,0,0.000958772770853308,0,0,0,0,0.000958772770853308
2015-01-22,0,0,0,0,0,0,0,0.00695249130938586,0.00115874855156431,0.00115874855156431,0,0,0,0,0,0,0
2015-01-23,0,0,0,0,0,0,0,0.00460829493087558,0.00345622119815668,0.00230414746543779,0,0,0,0,0,0,0.00115207373271889
2015-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,0,0.00235849056603774,0,0,0,0,0,0.00471698113207547,0,0.00235849056603774,0,0,0,0,0,0,-0.00235849056603774
2015-01-26,0,0,0,0,0,0,0,0.00766283524904215,0.0114942528735632,0.00766283524904215,0,0.00383141762452107,0,0,0,0,0.00383141762452107
2015-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,0,0,0,0,0,0,0.00404858299595142,0.00404858299595142,0,0,0,0,0,0,0,0,0
2015-01-29,0,0,0,0,0,0,0,0.00529500756429652,0.00226928895612708,0,0.00302571860816944,0.00302571860816944,0,0,0,0,0.00226928895612708
2015-01-30,0,0,0,0,0.00198019801980198,0,0.00792079207920792,0.00792079207920792,0.00198019801980198,0.00198019801980198,0,0.00198019801980198,0,0,0,0.00198019801980198,0
2015-01-31,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0.00212314225053079,0,0.00636942675159236,0.00424628450106157,0.00424628450106157,0.00424628450106157,0,0,0,0.00212314225053079,0,0.00212314225053079,0
2015-02-02,0,0,0.00127551020408163,0,0,0,0.00127551020408163,0.0038265306122449,0,0.0038265306122449,0.00127551020408163,0.00127551020408163,-0.00127551020408163,0,0,0,-0.0038265306122449
2015-02-03,0,0,0,0,0.0112359550561798,0,0.0112359550561798,0,0,0,0,0,0,0,0,0.0112359550561798,0
2015-02-04,0,0,0,0,0.00193423597678917,0,0.00386847195357834,0.00580270793036751,0.00386847195357834,0.00386847195357834,0,0,0,0,0,0.00193423597678917,0
2015-02-05,0,0,0.000759878419452888,0,0,0,0,0.0060790273556231,0.00379939209726444,0,0.000759878419452888,0.000759878419452888,0,0,0,0,0.00379939209726444
2015-02-06,0,0,0,0,0.00308641975308642,0,0.00308641975308642,0.0123456790123457,0.00308641975308642,0,0,0,0,0,0,0.00308641975308642,0.00308641975308642
