"date","rate_prop","tariff_prop","war_prop","pro_prop_d","ship_prop_d","car_prop_d","chip_prop_d","invest_prop_d","house_prop","unemp_prop","emp_prop_d","job_prop_d","retail_prop_d","gov_prop","inf_prop_d","stock_prop_d","house_prop_d","trade_prop_d"
2014-12-31,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0.00840336134453781,0,0,0,0,0,0.00280112044817927,0,0,0,-0.00140056022408964,0.00140056022408964,0,0,0,0
2015-01-02,0,0,0.00436681222707424,0.00109170305676856,0,0,0,0,0.00109170305676856,0,0,0,0,0,0,0,0,0
2015-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,0,0,0.00681818181818182,0,0,0,0,0,0.00227272727272727,0,0,0,0,0,0,0,0,0
2015-01-05,0,0,0.00635208711433757,0,0,0,0,0,0.000907441016333938,0,0,0.00453720508166969,0,0.00181488203266788,0,0,0,0
2015-01-06,0,0,0.0344168260038241,0,0,0.00191204588910134,0,0,0.00191204588910134,0,0,0,0,0.00382409177820268,0,0,0,0
2015-01-07,0,0,0.0106382978723404,0,0,0,0,0,0,0,0,0,0,0.0106382978723404,0,0,0,0
2015-01-08,0,0,0.00591715976331361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,0,0,0.00634249471458774,0,0,0,0,0,0,0,0,0,0,0.00211416490486258,0,0,0,0
2015-01-10,0,0,0.00766283524904215,0,0,0,0,0,0,0,-0.00383141762452107,0,0,0,0,0,0,0
2015-01-11,0,0,0,0,0,0,0,0,0.0158730158730159,0,0,0,0,0,0,0,0,0
2015-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,0,0,0.00600343053173242,0,0,0,0,0.00171526586620926,0.000857632933104631,0,0,0,0,0.00171526586620926,0,0,0,0
2015-01-14,0,0,0.00793650793650794,0,0,0,0.00793650793650794,0,0.00793650793650794,0,0,0.0158730158730159,0.00793650793650794,0,0,0,0,0
2015-01-15,0.00671140939597315,0,0.00191754554170662,0,0,0,0,0,0.000958772770853308,0.00287631831255992,0,0.00287631831255992,0,0.000958772770853308,0.000958772770853308,0,0,0
2015-01-16,0,0,0.00326797385620915,-0.00326797385620915,0,0,0,0,0.00326797385620915,0,0,0,0,0,-0.0065359477124183,0,0,0
2015-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,0,0,0.0416666666666667,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0
2015-01-19,0,0,0.00863930885529158,-0.00215982721382289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,0,0,0.00558035714285714,0,0,0,0,0,0,0,0.00111607142857143,0.00111607142857143,0,0.00446428571428571,0,0,0,0
2015-01-21,0,0.000958772770853308,0,0,0,0,0,0,0.00191754554170662,0,0,0,0,0,0,0,0,0
2015-01-22,0,0,0.00695249130938586,0,0,0,0,0,0.00231749710312862,0,0.00115874855156431,0,0,0,0,0,0,0
2015-01-23,0,0,0.00460829493087558,0.00115207373271889,0,0,0,0,0.00115207373271889,0,0,0,0,0,0,0,0,0
2015-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,0,0,0.00766283524904215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,0,0,0.00404858299595142,0,0,0,0,0,0,0,0,0,0,0.00809716599190283,0,0,0,0
2015-01-29,0,0,0.00529500756429652,0,0,0,0,0,0,0,0,0,0,0.00075642965204236,0,0,0,0
2015-01-30,0,0,0.00792079207920792,0.00594059405940594,0,0,0,0.00198019801980198,0,0,0,0,0,0,0,0,0,0
2015-01-31,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,0.00424628450106157,0,0,0,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0.00212314225053079
2015-02-02,0,0.00127551020408163,0.0038265306122449,0,0,-0.00127551020408163,0,0,0,0.00127551020408163,0,0.00255102040816327,0,0.00127551020408163,0,0,0,0
2015-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,0,0,0.00580270793036751,-0.00193423597678917,0,0,0,0,0,0,0,0.00193423597678917,0,0,0,0,0,0.00193423597678917
2015-02-05,0,0.000759878419452888,0.0060790273556231,0.000759878419452888,0,0,0,0,0,0,-0.000759878419452888,-0.000759878419452888,0,0.00303951367781155,0,0,0,0
2015-02-06,0,0,0.0123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,0,0,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,0,0,0.00373831775700935,0,0,0,0,0,0.00186915887850467,0,0,0.00373831775700935,-0.00186915887850467,0.00186915887850467,0,0,0,0
2015-02-09,0,0,0.00398406374501992,0,0,0,0,0,0.00796812749003984,0,0,0,0,0,0,0,0,0
2015-02-10,0,0,0.00616197183098592,0,0,0,0,0,0,0,0,0.000880281690140845,0,0.000880281690140845,0,0,0,0
2015-02-11,0.000844594594594595,0,0.00591216216216216,0,0,0,0,0.000844594594594595,0,0.00168918918918919,0,0.00675675675675676,0,0.000844594594594595,0,0,0,0
2015-02-12,0.00196850393700787,0,0.00492125984251968,0,0,0,0,0,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.00196850393700787,0,0,0,0,0,0
2015-02-13,0.00130378096479791,0,0.00521512385919166,0,0,0.00130378096479791,0.00130378096479791,0,0.00130378096479791,0,0,0,-0.00130378096479791,0.00130378096479791,0,0,0,0
2015-02-14,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0
2015-02-15,0,0,0.00746268656716418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-16,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,0.0087719298245614,0,0.00584795321637427,0,0,0,0,0,0.00292397660818713,0,0,0,0,0,0,0,0,0
2015-02-18,0.00574712643678161,0,0.0114942528735632,-0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-19,0,0,0.0114942528735632,0.0114942528735632,0,0,0,0,0,0,0.0114942528735632,0,0,0,0,0,0,0
2015-02-20,0,0,0,0,0,0,0,0,0.0053475935828877,0,0,0,0,0,0,0,0,0
2015-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-23,0,0,0.00558659217877095,0.00558659217877095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,0,0,0.00592417061611374,0,0,0,0,0,0.00118483412322275,0,-0.00118483412322275,-0.0023696682464455,0,0,0,0,0,0
2015-02-25,0.000982318271119843,0,0.00392927308447937,0,0,0,0,0,0,0,0.000982318271119843,0,0,0.000982318271119843,0,0,0,0
2015-02-26,0,0.0008424599831508,0.0058972198820556,0,0,0,0,0,0.0008424599831508,0,0.0008424599831508,0,0,0,0,0,0,0
2015-02-27,0,0,0.00329489291598023,0,0,0,0,0,0,0.00164744645799012,0.00164744645799012,0,0,0,0,0,0,0
2015-02-28,0,0,0.00952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
